"","municipios","coords.lon","coords.lat","lon","lat","municipios2"
"150"," Poza Rica De Hidalgo, Veracruz De Ignacio De La Llave", -97.46291,  20.52706, -97.48791,20.45206," Poza Rica De Hidalgo,
Veracruz De Ignacio De La Llave"
"151"," Puebla, Puebla", -98.20627,  19.04144, -98.23127,18.96644," Puebla,
Puebla"
"152"," Puente De Ixtla, Morelos", -99.32015,  18.61469, -99.34515,18.53969," Puente De Ixtla,
Morelos"
"153"," Puerto Vallarta, Jalisco",-105.22533,  20.65341,-105.25033,20.57841," Puerto Vallarta,
Jalisco"
"154"," Puruandiro, Michoacan De Ocampo",-101.51570,  20.08801,-101.54070,20.01301," Puruandiro,
Michoacan De Ocampo"
"155"," Queretaro, Queretaro De Arteaga",-100.38989,  20.58879,-100.41489,20.51379," Queretaro,
Queretaro De Arteaga"
"156"," Quiroga, Michoacan De Ocampo",-101.52328,  19.66480,-101.54828,19.58980," Quiroga,
Michoacan De Ocampo"
"157"," Reynosa, Tamaulipas", -98.29790,  26.05084, -98.32290,25.97584," Reynosa,
Tamaulipas"
"158"," Rincon De Romos, Aguascalientes",-102.32062,  22.22891,-102.34562,22.15391," Rincon De Romos,
Aguascalientes"
"159"," Romita, Guanajuato",-101.51686,  20.87089,-101.54186,20.79589," Romita,
Guanajuato"
"160"," Sabinas Hidalgo, Nuevo Leon",-100.17593,  26.50880,-100.20093,26.43380," Sabinas Hidalgo,
Nuevo Leon"
"161"," Salamanca, Guanajuato",-101.19572,  20.57393,-101.22072,20.49893," Salamanca,
Guanajuato"
"162"," Salina Cruz, Oaxaca", -95.20876,  16.18428, -95.23376,16.10928," Salina Cruz,
Oaxaca"
"163"," Saltillo, Coahuila De Zaragoza",-100.97368,  25.43832,-100.99868,25.36332," Saltillo,
Coahuila De Zaragoza"
"164"," Salvatierra, Guanajuato",-100.88184,  20.20900,-100.90684,20.13400," Salvatierra,
Guanajuato"
"165"," San Agustin Tlaxiaca, Hidalgo", -98.88315,  20.11551, -98.90815,20.04051," San Agustin Tlaxiaca,
Hidalgo"
"166"," San Andres Cholula, Puebla", -98.29491,  19.05996, -98.31991,18.98496," San Andres Cholula,
Puebla"
"167"," San Bartolo Coyotepec, Oaxaca", -96.70793,  16.95419, -96.73293,16.87919," San Bartolo Coyotepec,
Oaxaca"
"168"," San Cristobal De Las Casas, Chiapas", -92.63760,  16.73699, -92.66260,16.66199," San Cristobal De Las Casas,
Chiapas"
"169"," San Jose Chiapa, Puebla", -97.76772,  19.23884, -97.79272,19.16384," San Jose Chiapa,
Puebla"
"170"," San Jose Iturbide, Guanajuato",-100.38629,  20.99867,-100.41129,20.92367," San Jose Iturbide,
Guanajuato"
"171"," San Juan Bautista Tuxtepec, Oaxaca", -96.14209,  18.08090, -96.16709,18.00590," San Juan Bautista Tuxtepec,
Oaxaca"
"172"," San Luis De La Paz, Guanajuato",-100.52399,  21.29340,-100.54899,21.21840," San Luis De La Paz,
Guanajuato"
"173"," San Luis Potosi, San Luis Potosi",-100.98554,  22.15647,-101.01054,22.08147," San Luis Potosi,
San Luis Potosi"
"174"," San Luis Rio Colorado, Sonora",-114.77171,  32.45189,-114.79671,32.37689," San Luis Rio Colorado,
Sonora"
"175"," San Martin Texmelucan, Puebla", -98.43487,  19.28438, -98.45987,19.20938," San Martin Texmelucan,
Puebla"
"176"," San Miguel De Allende, Guanajuato",-100.74523,  20.91445,-100.77023,20.83945," San Miguel De Allende,
Guanajuato"
"177"," San Miguel El Alto, Jalisco",-102.40403,  21.02976,-102.42903,20.95476," San Miguel El Alto,
Jalisco"
"178"," San Nicolas De Los Garza, Nuevo Leon",-100.28690,  25.74935,-100.31190,25.67435," San Nicolas De Los Garza,
Nuevo Leon"
"179"," San Pablo Huixtepec, Oaxaca", -96.78420,  16.82106, -96.80920,16.74606," San Pablo Huixtepec,
Oaxaca"
"180"," San Pedro Garza Garcia, Nuevo Leon",-100.40175,  25.65734,-100.42675,25.58234," San Pedro Garza Garcia,
Nuevo Leon"
"181"," San Pedro Mixtepec - Distr. 22 -, Oaxaca", -97.07943,  15.97992, -97.10443,15.90492," San Pedro Mixtepec - Distr. 22 -,
Oaxaca"
"182"," Santa Cruz De Juventino Rosas, Guanajuato",-100.99329,  20.64403,-101.01829,20.56903," Santa Cruz De Juventino Rosas,
Guanajuato"
"183"," Santos Reyes Nopala, Oaxaca", -97.14356,  16.10706, -97.16856,16.03206," Santos Reyes Nopala,
Oaxaca"
"184"," Silao, Guanajuato",-101.42824,  20.95214,-101.45324,20.87714," Silao,
Guanajuato"
"185"," Sinaloa, Sinaloa",-108.22167,  25.82269,-108.24667,25.74769," Sinaloa,
Sinaloa"
"186"," Soledad De Graciano Sanchez, San Luis Potosi",-100.94178,  22.18070,-100.96678,22.10570," Soledad De Graciano Sanchez,
San Luis Potosi"
"187"," Solidaridad, Quintana Roo", -87.07796,  20.63511, -87.10296,20.56011," Solidaridad,
Quintana Roo"
"188"," Tabasco, Zacatecas",-102.91306,  21.86526,-102.93806,21.79026," Tabasco,
Zacatecas"
"189"," Tamazulapam Del Espiritu Santo, Oaxaca", -96.06461,  17.05439, -96.08961,16.97939," Tamazulapam Del Espiritu Santo,
Oaxaca"
"190"," Tampico, Tamaulipas", -97.86110,  22.23310, -97.88610,22.15810," Tampico,
Tamaulipas"
"191"," Tapachula, Chiapas", -92.26342,  14.90556, -92.28842,14.83056," Tapachula,
Chiapas"
"192"," Tecamachalco, Puebla", -97.73273,  18.88191, -97.75773,18.80691," Tecamachalco,
Puebla"
"193"," Tecoman, Colima",-103.87380,  18.91738,-103.89880,18.84238," Tecoman,
Colima"
"194"," Tecomatlan, Puebla", -98.31315,  18.10789, -98.33815,18.03289," Tecomatlan,
Puebla"
"195"," Tehuacan, Puebla", -97.40038,  18.46651, -97.42538,18.39151," Tehuacan,
Puebla"
"196"," Temixco, Morelos", -99.23937,  18.85930, -99.26437,18.78430," Temixco,
Morelos"
"197"," Tenancingo, Mexico", -99.59107,  18.96134, -99.61607,18.88634," Tenancingo,
Mexico"
"198"," Tepatitlan De Morelos, Jalisco",-102.76244,  20.81670,-102.78744,20.74170," Tepatitlan De Morelos,
Jalisco"
"199"," Tepeaca, Puebla", -97.89938,  18.96596, -97.92438,18.89096," Tepeaca,
Puebla"
"200"," Tepic, Nayarit",-104.89459,  21.50417,-104.91959,21.42917," Tepic,
Nayarit"
"201"," Tetecala, Morelos", -99.39789,  18.72741, -99.42289,18.65241," Tetecala,
Morelos"
"202"," Tetela De Ocampo, Puebla", -97.80960,  19.81158, -97.83460,19.73658," Tetela De Ocampo,
Puebla"
"203"," Teziutlan, Puebla", -97.35706,  19.81601, -97.38206,19.74101," Teziutlan,
Puebla"
"204"," Tezonapa, Veracruz De Ignacio De La Llave", -96.68720,  18.60217, -96.71220,18.52717," Tezonapa,
Veracruz De Ignacio De La Llave"
"205"," Tierra Blanca, Veracruz De Ignacio De La Llave", -96.35984,  18.44583, -96.38484,18.37083," Tierra Blanca,
Veracruz De Ignacio De La Llave"
"206"," Tijuana, Baja California",-117.03825,  32.51495,-117.15825,32.43995," Tijuana,
Baja California"
"207"," Tlacotepec De Benito Juarez, Puebla", -97.64832,  18.68163, -97.67332,18.60663," Tlacotepec De Benito Juarez,
Puebla"
"208"," Tlajomulco De Zuniga, Jalisco",-103.44793,  20.47369,-103.47293,20.39869," Tlajomulco De Zuniga,
Jalisco"
"209"," Tlalixcoyan, Veracruz De Ignacio De La Llave", -96.06130,  18.80297, -96.08630,18.72797," Tlalixcoyan,
Veracruz De Ignacio De La Llave"
"210"," Tlalnepantla De Baz, Mexico", -99.19074,  19.53453, -99.21574,19.45953," Tlalnepantla De Baz,
Mexico"
"211"," Tlalpan, Ciudad De Mexico", -99.21142,  19.27909, -99.23642,19.20409," Tlalpan,
Ciudad De Mexico"
"212"," Tlaola, Puebla", -97.92253,  20.13521, -97.94753,20.06021," Tlaola,
Puebla"
"213"," Tlapacoyan, Veracruz De Ignacio De La Llave", -97.21406,  19.96094, -97.23906,19.88594," Tlapacoyan,
Veracruz De Ignacio De La Llave"
"214"," Tlaquepaque, Jalisco",-103.32122,  20.62431,-103.34622,20.54931," Tlaquepaque,
Jalisco"
"215"," Tlatlauquitepec, Puebla", -97.49720,  19.84635, -97.52220,19.77135," Tlatlauquitepec,
Puebla"
"216"," Toluca, Mexico", -99.65567,  19.28261, -99.68067,19.20761," Toluca,
Mexico"
"217"," Torreon, Coahuila De Zaragoza",-103.40679,  25.54284,-103.43179,25.46784," Torreon,
Coahuila De Zaragoza"
"218"," Tula De Allende, Hidalgo", -99.34425,  20.05221, -99.36925,19.97721," Tula De Allende,
Hidalgo"
"219"," Tulancingo De Bravo, Hidalgo", -98.36909,  20.09048, -98.39409,20.01548," Tulancingo De Bravo,
Hidalgo"
"220"," Tultitlan, Mexico", -99.16686,  19.63921, -99.19186,19.56421," Tultitlan,
Mexico"
"221"," Tuxpan, Veracruz De Ignacio De La Llave", -97.40634,  20.95611, -97.43134,20.88111," Tuxpan,
Veracruz De Ignacio De La Llave"
"222"," Tuxtla Gutierrez, Chiapas", -93.10299,  16.75160, -93.12799,16.67660," Tuxtla Gutierrez,
Chiapas"
"223"," Tuzantla, Michoacan De Ocampo",-100.57538,  19.20667,-100.60038,19.13167," Tuzantla,
Michoacan De Ocampo"
"224"," Uriangato, Guanajuato",-101.17873,  20.14620,-101.20373,20.07120," Uriangato,
Guanajuato"
